posY,accX,accY,velX,velY
0,0,0,0,0
4.997772,-0.00061,4.997772,-0.00061,4.997772
5.150014,1.235606,-4.84553,1.234996,0.152242
10.139772,-1.366918,4.837516,-0.131922,4.989758
14.980733,-0.069706,-0.148798,-0.201628,4.840961
19.821487,0.034436,-0.000207,-0.167192,4.840754
24.722468,0.085146,0.060228,-0.082047,4.900982
29.66445,0.036772,0.041,-0.045275,4.941982
34.658644,0.00776,0.052212,-0.037514,4.994194
39.658544,0.005749,0.006733,-0.031759,4.999899
44.658458,0.002416,0.010346,-0.029282,4.999914
49.65589,0.001039,-0.002482,-0.028243,4.997433
54.655843,0.006418,0.009295,-0.021795,4.999952
59.655763,-0.006509,0.001155,-0.028297,4.99992
64.654783,-0.002901,-0.0009,-0.031198,4.99902
69.654669,-0.002558,0.001801,-0.03375,4.999886
74.650522,0.006104,-0.004033,-0.027646,4.995853
79.650393,-0.008377,0.007986,-0.035994,4.99987
84.648087,0.000651,-0.002176,-0.035343,4.997694
89.647971,0.001322,0.004464,-0.034006,4.999884
94.647896,0.006578,0.001916,-0.027417,4.999925
99.647804,-0.003029,0.003025,-0.030428,4.999907
104.647718,0.001156,0.003913,-0.029249,4.999914
109.647648,0.002687,0.003209,-0.026545,4.99993
114.647617,0.009002,0.001652,-0.017538,4.999969
119.643462,-0.004408,-0.004124,-0.021946,4.995845
124.642815,-0.014713,0.003507,-0.036659,4.999353
129.642741,0.009426,0.000673,-0.027232,4.999926
129.650657,-0.14969,-4.99201,-0.176923,0.007916
129.650657,-0.14969,-4.99201,-0.176923,0.007916
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
129.650657,0,0,0,0
132.605348,-3.844797,2.946774,-4.021719,2.954691
135.565731,-0.002583,0.005693,-4.024302,2.960383
138.529834,0.010127,0.003721,-4.014175,2.964104
141.490011,-0.019362,-0.001005,-4.02956,2.960177
144.452405,-0.002567,0.005303,-4.02793,2.962394
147.415444,0.004621,0.000645,-4.02331,2.963039
150.375625,-0.005088,-0.002857,-4.028398,2.960182
153.337276,-0.000578,0.001836,-4.028477,2.961651
156.308471,0.00447,0.011438,-4.021443,2.971195
159.269407,0.002041,-0.010259,-4.019401,2.960936
162.233349,-0.002121,0.003006,-4.021522,2.963942
165.198825,-0.008818,0.00498,-4.025662,2.965476
168.161451,0.001176,-0.002849,-4.024486,2.962626
173.158443,3.902545,2.034365,-0.121941,4.996992
178.157344,0.017037,0.006623,-0.104806,4.998901
183.156155,-0.00185,-0.000091,-0.106656,4.998811
188.154804,-0.009684,0.004081,-0.116242,4.998649
193.152578,0.010681,-0.000874,-0.10556,4.997775
198.151361,-0.004818,0.004664,-0.110297,4.998783
203.149842,-0.013005,0.002118,-0.123243,4.998481
208.146899,0.01545,-0.001424,-0.107792,4.997057
213.142631,-0.01199,-0.001325,-0.119782,4.995732
218.141324,0.005296,0.010216,-0.11432,4.998693
223.11676,-0.38292,-0.000875,-0.495013,4.975436
228.103355,0.128544,0.019272,-0.365873,4.986596
233.094742,0.072466,0.005742,-0.293351,4.991387
238.088925,0.051641,0.014721,-0.241134,4.994182
243.086811,0.242556,0.003704,0.001421,4.997886
248.076715,-0.005508,-0.007982,-0.004087,4.989904
253.076713,-0.000926,0.01397,-0.005009,4.999997
258.074792,0.009653,-0.001919,0.004644,4.998079
263.070265,-0.003847,-0.002605,0.000797,4.995474
268.061654,-0.002742,-0.004085,-0.001945,4.991389
273.061634,-0.012144,0.011234,-0.014081,4.99998
277.67954,1.934301,-0.374352,1.917014,4.617906
279.792819,-1.015043,-2.504628,0.901971,2.113278
284.388931,0.994888,2.482834,1.896859,4.596112
286.421085,-1.025537,-2.563958,0.871322,2.032154
290.977465,1.00032,2.524227,1.871641,4.556381
292.931152,-1.037171,-2.602694,0.834471,1.953687
297.472613,1.033426,2.587775,1.867897,4.541461
299.340642,-1.060615,-2.673432,0.807282,1.868029
303.844634,1.047521,2.635963,1.854803,4.503992
